id,name,type,image,sound,phonemeSound
turtle,turtle,4,eng/image/turtle.png,eng/audio/turtle.ogg,eng/audio/turtle.ogg
black,black,4,eng/image/black.png,eng/audio/black.ogg,eng/audio/black.ogg
cake pan,cake pan,4,eng/image/cake pan.png,eng/audio/cake pan.ogg,eng/audio/cake pan.ogg
mother,mother,4,eng/image/mother.png,eng/audio/mother.ogg,eng/audio/mother.ogg
snail,snail,4,eng/image/snail.png,eng/audio/snail.ogg,eng/audio/snail.ogg
celeriac,celeriac,4,eng/image/celeriac.png,eng/audio/celeriac.ogg,eng/audio/celeriac.ogg
monday,monday,4,eng/image/monday.png,eng/audio/monday.ogg,eng/audio/monday.ogg
leek,leek,4,eng/image/leek.png,eng/audio/leek.ogg,eng/audio/leek.ogg
aunt,aunt,4,eng/image/aunt.png,eng/audio/aunt.ogg,eng/audio/aunt.ogg
bucket,bucket,4,eng/image/bucket.png,eng/audio/bucket.ogg,eng/audio/bucket.ogg
forgive,forgive,4,eng/image/forgive.png,eng/audio/forgive.ogg,eng/audio/forgive.ogg
lips,lips,4,eng/image/lips.png,eng/audio/lips.ogg,eng/audio/lips.ogg
rain coat,rain coat,4,eng/image/rain coat.png,eng/audio/rain coat.ogg,eng/audio/rain coat.ogg
plum,plum,4,eng/image/plum.png,eng/audio/plum.ogg,eng/audio/plum.ogg
clothespins,clothespins,4,eng/image/clothespins.png,eng/audio/clothespins.ogg,eng/audio/clothespins.ogg
june,june,4,eng/image/june.png,eng/audio/june.ogg,eng/audio/june.ogg
bunch,bunch,4,eng/image/bunch.png,eng/audio/bunch.ogg,eng/audio/bunch.ogg
orange,orange,4,eng/image/orange.png,eng/audio/orange.ogg,eng/audio/orange.ogg
small intestine,small intestine,4,eng/image/small intestine.png,eng/audio/small intestine.ogg,eng/audio/small intestine.ogg
cutting board,cutting board,4,eng/image/cutting board.png,eng/audio/cutting board.ogg,eng/audio/cutting board.ogg
uncle,uncle,4,eng/image/uncle.png,eng/audio/uncle.ogg,eng/audio/uncle.ogg
strawberry,strawberry,4,eng/image/strawberry.png,eng/audio/strawberry.ogg,eng/audio/strawberry.ogg
next week,next week,4,eng/image/next week.png,eng/audio/next week.ogg,eng/audio/next week.ogg
wallet,wallet,4,eng/image/wallet.png,eng/audio/wallet.ogg,eng/audio/wallet.ogg
salad,salad,4,eng/image/salad.png,eng/audio/salad.ogg,eng/audio/salad.ogg
confused,confused,4,eng/image/confused.png,eng/audio/confused.ogg,eng/audio/confused.ogg
zip,zip,4,eng/image/zip.png,eng/audio/zip.ogg,eng/audio/zip.ogg
cheese,cheese,4,eng/image/cheese.png,eng/audio/cheese.ogg,eng/audio/cheese.ogg
kettle,kettle,4,eng/image/kettle.png,eng/audio/kettle.ogg,eng/audio/kettle.ogg
bed room,bed room,4,eng/image/bed room.png,eng/audio/bed room.ogg,eng/audio/bed room.ogg
broom,broom,4,eng/image/broom.png,eng/audio/broom.ogg,eng/audio/broom.ogg
team,team,4,eng/image/team.png,eng/audio/team.ogg,eng/audio/team.ogg
dryer,dryer,4,eng/image/dryer.png,eng/audio/dryer.ogg,eng/audio/dryer.ogg
yak,yak,4,eng/image/yak.png,eng/audio/yak.ogg,eng/audio/yak.ogg
elbow,elbow,4,eng/image/elbow.png,eng/audio/elbow.ogg,eng/audio/elbow.ogg
nails,nails,4,eng/image/nails.png,eng/audio/nails.ogg,eng/audio/nails.ogg
baby carrot,baby carrot,4,eng/image/baby carrot.png,eng/audio/baby carrot.ogg,eng/audio/baby carrot.ogg
swede,swede,4,eng/image/swede.png,eng/audio/swede.ogg,eng/audio/swede.ogg
paternal grandmother,paternal grandmother,4,eng/image/paternal grandmother.png,eng/audio/paternal grandmother.ogg,eng/audio/paternal grandmother.ogg
february,february,4,eng/image/february.png,eng/audio/february.ogg,eng/audio/february.ogg
egg,egg,4,eng/image/egg.png,eng/audio/egg.ogg,eng/audio/egg.ogg
roast,roast,4,eng/image/roast.png,eng/audio/roast.ogg,eng/audio/roast.ogg
rabbit,rabbit,4,eng/image/rabbit.png,eng/audio/rabbit.ogg,eng/audio/rabbit.ogg
eyelash,eyelash,4,eng/image/eyelash.png,eng/audio/eyelash.ogg,eng/audio/eyelash.ogg
pelican,pelican,4,eng/image/pelican.png,eng/audio/pelican.ogg,eng/audio/pelican.ogg
happy,happy,4,eng/image/happy.png,eng/audio/happy.ogg,eng/audio/happy.ogg
wash,wash,4,eng/image/wash.png,eng/audio/wash.ogg,eng/audio/wash.ogg
television,television,4,eng/image/television.png,eng/audio/television.ogg,eng/audio/television.ogg
october,october,4,eng/image/october.png,eng/audio/october.ogg,eng/audio/october.ogg
year,year,4,eng/image/year.png,eng/audio/year.ogg,eng/audio/year.ogg
mushroom,mushroom,4,eng/image/mushroom.png,eng/audio/mushroom.ogg,eng/audio/mushroom.ogg
mouse trap,mouse trap,4,eng/image/mouse trap.png,eng/audio/mouse trap.ogg,eng/audio/mouse trap.ogg
up,up,4,eng/image/up.png,eng/audio/up.ogg,eng/audio/up.ogg
zero,zero,4,eng/image/zero.png,eng/audio/zero.ogg,eng/audio/zero.ogg
gorilla,gorilla,4,eng/image/gorilla.png,eng/audio/gorilla.ogg,eng/audio/gorilla.ogg
broccolli,broccolli,4,eng/image/broccolli.png,eng/audio/broccolli.ogg,eng/audio/broccolli.ogg
t shirt,t shirt,4,eng/image/t shirt.png,eng/audio/t shirt.ogg,eng/audio/t shirt.ogg
armchair,armchair,4,eng/image/armchair.png,eng/audio/armchair.ogg,eng/audio/armchair.ogg
tub,tub,4,eng/image/tub.png,eng/audio/tub.ogg,eng/audio/tub.ogg
bowl,bowl,4,eng/image/bowl.png,eng/audio/bowl.ogg,eng/audio/bowl.ogg
pint,pint,4,eng/image/pint.png,eng/audio/pint.ogg,eng/audio/pint.ogg
waist,waist,4,eng/image/waist.png,eng/audio/waist.ogg,eng/audio/waist.ogg
cauliflower,cauliflower,4,eng/image/cauliflower.png,eng/audio/cauliflower.ogg,eng/audio/cauliflower.ogg
ladel,ladel,4,eng/image/ladel.png,eng/audio/ladel.ogg,eng/audio/ladel.ogg
instant coffee,instant coffee,4,eng/image/instant coffee.png,eng/audio/instant coffee.ogg,eng/audio/instant coffee.ogg
sleepy,sleepy,4,eng/image/sleepy.png,eng/audio/sleepy.ogg,eng/audio/sleepy.ogg
shelves,shelves,4,eng/image/shelves.png,eng/audio/shelves.ogg,eng/audio/shelves.ogg
gem,gem,4,eng/image/gem.png,eng/audio/gem.ogg,eng/audio/gem.ogg
palm,palm,4,eng/image/palm.png,eng/audio/palm.ogg,eng/audio/palm.ogg
chard,chard,4,eng/image/chard.png,eng/audio/chard.ogg,eng/audio/chard.ogg
grand father,grand father,4,eng/image/grand father.png,eng/audio/grand father.ogg,eng/audio/grand father.ogg
cot,cot,4,eng/image/cot.png,eng/audio/cot.ogg,eng/audio/cot.ogg
basement,basement,4,eng/image/basement.png,eng/audio/basement.ogg,eng/audio/basement.ogg
ankle,ankle,4,eng/image/ankle.png,eng/audio/ankle.ogg,eng/audio/ankle.ogg
morning,morning,4,eng/image/morning.png,eng/audio/morning.ogg,eng/audio/morning.ogg
yesterday morning,yesterday morning,4,eng/image/yesterday morning.png,eng/audio/yesterday morning.ogg,eng/audio/yesterday morning.ogg
package,package,4,eng/image/package.png,eng/audio/package.ogg,eng/audio/package.ogg
arm,arm,4,eng/image/arm.png,eng/audio/arm.ogg,eng/audio/arm.ogg
father in law,father in law,4,eng/image/father in law.png,eng/audio/father in law.ogg,eng/audio/father in law.ogg
unhappy,unhappy,4,eng/image/unhappy.png,eng/audio/unhappy.ogg,eng/audio/unhappy.ogg
box,box,4,eng/image/box.png,eng/audio/box.ogg,eng/audio/box.ogg
hand parts,hand parts,4,eng/image/hand parts.png,eng/audio/hand parts.ogg,eng/audio/hand parts.ogg
painting,painting,4,eng/image/painting.png,eng/audio/painting.ogg,eng/audio/painting.ogg
cap,cap,4,eng/image/cap.png,eng/audio/cap.ogg,eng/audio/cap.ogg
couch,couch,4,eng/image/couch.png,eng/audio/couch.ogg,eng/audio/couch.ogg
chicken,chicken,4,eng/image/chicken.png,eng/audio/chicken.ogg,eng/audio/chicken.ogg
yogurt,yogurt,4,eng/image/yogurt.png,eng/audio/yogurt.ogg,eng/audio/yogurt.ogg
shorts,shorts,4,eng/image/shorts.png,eng/audio/shorts.ogg,eng/audio/shorts.ogg
yes,yes,4,eng/image/yes.png,eng/audio/yes.ogg,eng/audio/yes.ogg
grill,grill,4,eng/image/grill.png,eng/audio/grill.ogg,eng/audio/grill.ogg
corn,corn,4,eng/image/corn.png,eng/audio/corn.ogg,eng/audio/corn.ogg
quokka,quokka,4,eng/image/quokka.png,eng/audio/quokka.ogg,eng/audio/quokka.ogg
cyclone,cyclone,4,eng/image/cyclone.png,eng/audio/cyclone.ogg,eng/audio/cyclone.ogg
belt,belt,4,eng/image/belt.png,eng/audio/belt.ogg,eng/audio/belt.ogg
quail,quail,4,eng/image/quail.png,eng/audio/quail.ogg,eng/audio/quail.ogg
mix,mix,4,eng/image/mix.png,eng/audio/mix.ogg,eng/audio/mix.ogg
gift,gift,4,eng/image/gift.png,eng/audio/gift.ogg,eng/audio/gift.ogg
index finger,index finger,4,eng/image/index finger.png,eng/audio/index finger.ogg,eng/audio/index finger.ogg
afraid,afraid,4,eng/image/afraid.png,eng/audio/afraid.ogg,eng/audio/afraid.ogg
dolphine,dolphine,4,eng/image/dolphine.png,eng/audio/dolphine.ogg,eng/audio/dolphine.ogg
vehicle,vehicle,4,eng/image/vehicle.png,eng/audio/vehicle.ogg,eng/audio/vehicle.ogg
fork,fork,4,eng/image/fork.png,eng/audio/fork.ogg,eng/audio/fork.ogg
beat,beat,4,eng/image/beat.png,eng/audio/beat.ogg,eng/audio/beat.ogg
toaster,toaster,4,eng/image/toaster.png,eng/audio/toaster.ogg,eng/audio/toaster.ogg
tiger,tiger,4,eng/image/tiger.png,eng/audio/tiger.ogg,eng/audio/tiger.ogg
pea,pea,4,eng/image/pea.png,eng/audio/pea.ogg,eng/audio/pea.ogg
hammer,hammer,4,eng/image/hammer.png,eng/audio/hammer.ogg,eng/audio/hammer.ogg
pan,pan,4,eng/image/pan.png,eng/audio/pan.ogg,eng/audio/pan.ogg
eyebrows,eyebrows,4,eng/image/eyebrows.png,eng/audio/eyebrows.ogg,eng/audio/eyebrows.ogg
beard,beard,4,eng/image/beard.png,eng/audio/beard.ogg,eng/audio/beard.ogg
jar,jar,4,eng/image/jar.png,eng/audio/jar.ogg,eng/audio/jar.ogg
sparrow,sparrow,4,eng/image/sparrow.png,eng/audio/sparrow.ogg,eng/audio/sparrow.ogg
sweat shirt,sweat shirt,4,eng/image/sweat shirt.png,eng/audio/sweat shirt.ogg,eng/audio/sweat shirt.ogg
crown,crown,4,eng/image/crown.png,eng/audio/crown.ogg,eng/audio/crown.ogg
dining hall,dining hall,4,eng/image/dining hall.png,eng/audio/dining hall.ogg,eng/audio/dining hall.ogg
desk,desk,4,eng/image/desk.png,eng/audio/desk.ogg,eng/audio/desk.ogg
garbage can,garbage can,4,eng/image/garbage can.png,eng/audio/garbage can.ogg,eng/audio/garbage can.ogg
autumn,autumn,4,eng/image/autumn.png,eng/audio/autumn.ogg,eng/audio/autumn.ogg
thigh,thigh,4,eng/image/thigh.png,eng/audio/thigh.ogg,eng/audio/thigh.ogg
kingfisher,kingfisher,4,eng/image/kingfisher.png,eng/audio/kingfisher.ogg,eng/audio/kingfisher.ogg
can opner,can opner,4,eng/image/can opner.png,eng/audio/can opner.ogg,eng/audio/can opner.ogg
lion,lion,4,eng/image/lion .png,eng/audio/lion .ogg,eng/audio/lion .ogg
lachet,lachet,4,eng/image/lachet.png,eng/audio/lachet.ogg,eng/audio/lachet.ogg
april,april,4,eng/image/april.png,eng/audio/april.ogg,eng/audio/april.ogg
tap,tap,4,eng/image/tap.png,eng/audio/tap.ogg,eng/audio/tap.ogg
wooden spoon,wooden spoon,4,eng/image/wooden spoon.png,eng/audio/wooden spoon.ogg,eng/audio/wooden spoon.ogg
kind,kind,4,eng/image/kind.png,eng/audio/kind.ogg,eng/audio/kind.ogg
lime,lime,4,eng/image/lime.png,eng/audio/lime.ogg,eng/audio/lime.ogg
sister,sister,4,eng/image/sister.png,eng/audio/sister.ogg,eng/audio/sister.ogg
coat,coat,4,eng/image/coat.png,eng/audio/coat.ogg,eng/audio/coat.ogg
tear,tear,4,eng/image/tear.png,eng/audio/tear.ogg,eng/audio/tear.ogg
tomorow,tomorow,4,eng/image/tomorow.png,eng/audio/tomorow.ogg,eng/audio/tomorow.ogg
ceiling,ceiling,4,eng/image/ceiling.png,eng/audio/ceiling.ogg,eng/audio/ceiling.ogg
nightingale,nightingale,4,eng/image/nightingale.png,eng/audio/nightingale.ogg,eng/audio/nightingale.ogg
cock,cock,4,eng/image/cock.png,eng/audio/cock.ogg,eng/audio/cock.ogg
falcon,falcon,4,eng/image/falcon.png,eng/audio/falcon.ogg,eng/audio/falcon.ogg
xray,xray,4,eng/image/xray.png,eng/audio/xray.ogg,eng/audio/xray.ogg
ladyfinger,ladyfinger,4,eng/image/ladyfinger.png,eng/audio/ladyfinger.ogg,eng/audio/ladyfinger.ogg
shirt,shirt,4,eng/image/shirt.png,eng/audio/shirt.ogg,eng/audio/shirt.ogg
tail,tail,4,eng/image/tail.png,eng/audio/tail.ogg,eng/audio/tail.ogg
kite,kite,4,eng/image/kite.png,eng/audio/kite.ogg,eng/audio/kite.ogg
floor,floor,4,eng/image/floor.png,eng/audio/floor.ogg,eng/audio/floor.ogg
cockroach,cockroach,4,eng/image/cockroach.png,eng/audio/cockroach.ogg,eng/audio/cockroach.ogg
this week,this week,4,eng/image/this week.png,eng/audio/this week.ogg,eng/audio/this week.ogg
jackfruit,jackfruit,4,eng/image/jackfruit.png,eng/audio/jackfruit.ogg,eng/audio/jackfruit.ogg
pepper,pepper,4,eng/image/pepper.png,eng/audio/pepper.ogg,eng/audio/pepper.ogg
date,date,4,eng/image/date.png,eng/audio/date.ogg,eng/audio/date.ogg
toe,toe,4,eng/image/toe.png,eng/audio/toe.ogg,eng/audio/toe.ogg
wednesday,wednesday,4,eng/image/wednesday.png,eng/audio/wednesday.ogg,eng/audio/wednesday.ogg
childrens,childrens,4,eng/image/childrens.png,eng/audio/childrens.ogg,eng/audio/childrens.ogg
september,september,4,eng/image/september.png,eng/audio/september.ogg,eng/audio/september.ogg
pika,pika,4,eng/image/pika.png,eng/audio/pika.ogg,eng/audio/pika.ogg
gray,gray,4,eng/image/gray.png,eng/audio/gray.ogg,eng/audio/gray.ogg
burner,burner,4,eng/image/burner.png,eng/audio/burner.ogg,eng/audio/burner.ogg
melon,melon,4,eng/image/melon.png,eng/audio/melon.ogg,eng/audio/melon.ogg
rain,rain,4,eng/image/rain.png,eng/audio/rain.ogg,eng/audio/rain.ogg
bear,bear,4,eng/image/bear.png,eng/audio/bear.ogg,eng/audio/bear.ogg
grand mother,grand mother,4,eng/image/grand mother.png,eng/audio/grand mother.ogg,eng/audio/grand mother.ogg
tube,tube,4,eng/image/tube.png,eng/audio/tube.ogg,eng/audio/tube.ogg
woodpecker,woodpecker,4,eng/image/woodpecker.png,eng/audio/woodpecker.ogg,eng/audio/woodpecker.ogg
hot,hot,4,eng/image/hot.png,eng/audio/hot.ogg,eng/audio/hot.ogg
odd,odd,4,eng/image/odd.png,eng/audio/odd.ogg,eng/audio/odd.ogg
capsicum,capsicum,4,eng/image/capsicum.png,eng/audio/capsicum.ogg,eng/audio/capsicum.ogg
mouth,mouth,4,eng/image/mouth.png,eng/audio/mouth.ogg,eng/audio/mouth.ogg
outside,outside,4,eng/image/outside.png,eng/audio/outside.ogg,eng/audio/outside.ogg
love,love,4,eng/image/love.png,eng/audio/love.ogg,eng/audio/love.ogg
pajamas,pajamas,4,eng/image/pajamas.png,eng/audio/pajamas.ogg,eng/audio/pajamas.ogg
excited,excited,4,eng/image/excited.png,eng/audio/excited.ogg,eng/audio/excited.ogg
milk,milk,4,eng/image/milk.png,eng/audio/milk.ogg,eng/audio/milk.ogg
green peas,green peas,4,eng/image/green peas.png,eng/audio/green peas.ogg,eng/audio/green peas.ogg
drizzling,drizzling,4,eng/image/drizzling.png,eng/audio/drizzling.ogg,eng/audio/drizzling.ogg
tooth,tooth,4,eng/image/tooth.png,eng/audio/tooth.ogg,eng/audio/tooth.ogg
giraffe,giraffe,4,eng/image/giraffe.png,eng/audio/giraffe.ogg,eng/audio/giraffe.ogg
magnet,magnet,4,eng/image/magnet.png,eng/audio/magnet.ogg,eng/audio/magnet.ogg
kidney,kidney,4,eng/image/kidney.png,eng/audio/kidney.ogg,eng/audio/kidney.ogg
gallon,gallon,4,eng/image/gallon.png,eng/audio/gallon.ogg,eng/audio/gallon.ogg
lemon,lemon,4,eng/image/lemon.png,eng/audio/lemon.ogg,eng/audio/lemon.ogg
cushion,cushion,4,eng/image/cushion.png,eng/audio/cushion.ogg,eng/audio/cushion.ogg
island,island,4,eng/image/island.png,eng/audio/island.ogg,eng/audio/island.ogg
squash,squash,4,eng/image/squash.png,eng/audio/squash.ogg,eng/audio/squash.ogg
drapes,drapes,4,eng/image/drapes.png,eng/audio/drapes.ogg,eng/audio/drapes.ogg
parrot,parrot,4,eng/image/parrot.png,eng/audio/parrot.ogg,eng/audio/parrot.ogg
cheek,cheek,4,eng/image/cheek.png,eng/audio/cheek.ogg,eng/audio/cheek.ogg
grandson,grandson,4,eng/image/grandson.png,eng/audio/grandson.ogg,eng/audio/grandson.ogg
mango,mango,4,eng/image/mango.png,eng/audio/mango.ogg,eng/audio/mango.ogg
chest,chest,4,eng/image/chest.png,eng/audio/chest.ogg,eng/audio/chest.ogg
umbrella,umbrella,4,eng/image/umbrella.png,eng/audio/umbrella.ogg,eng/audio/umbrella.ogg
polar bear,polar bear,4,eng/image/polar bear.png,eng/audio/polar bear.ogg,eng/audio/polar bear.ogg
shoulder,shoulder,4,eng/image/shoulder.png,eng/audio/shoulder.ogg,eng/audio/shoulder.ogg
bruussels sprout,bruussels sprout,4,eng/image/bruussels sprout.png,eng/audio/bruussels sprout.ogg,eng/audio/bruussels sprout.ogg
sad,sad,4,eng/image/sad.png,eng/audio/sad.ogg,eng/audio/sad.ogg
air exhaust,air exhaust,4,eng/image/air exhaust.png,eng/audio/air exhaust.ogg,eng/audio/air exhaust.ogg
shoes,shoes,4,eng/image/shoes.png,eng/audio/shoes.ogg,eng/audio/shoes.ogg
rack,rack,4,eng/image/rack.png,eng/audio/rack.ogg,eng/audio/rack.ogg
nest,nest,4,eng/image/nest.png,eng/audio/nest.ogg,eng/audio/nest.ogg
rainbow,rainbow,4,eng/image/rainbow.png,eng/audio/rainbow.ogg,eng/audio/rainbow.ogg
beans,beans,4,eng/image/beans.png,eng/audio/beans.ogg,eng/audio/beans.ogg
stomach,stomach,4,eng/image/stomach.png,eng/audio/stomach.ogg,eng/audio/stomach.ogg
monkey,monkey,4,eng/image/monkey .png,eng/audio/monkey .ogg,eng/audio/monkey .ogg
brain,brain,4,eng/image/brain.png,eng/audio/brain.ogg,eng/audio/brain.ogg
everday,everday,4,eng/image/everday.png,eng/audio/everday.ogg,eng/audio/everday.ogg
zigzag,zigzag,4,eng/image/zigzag.png,eng/audio/zigzag.ogg,eng/audio/zigzag.ogg
niece,niece,4,eng/image/niece.png,eng/audio/niece.ogg,eng/audio/niece.ogg
fireplace,fireplace,4,eng/image/fireplace.png,eng/audio/fireplace.ogg,eng/audio/fireplace.ogg
hyacinth,hyacinth,4,eng/image/hyacinth.png,eng/audio/hyacinth.ogg,eng/audio/hyacinth.ogg
gourds,gourds,4,eng/image/gourds.png,eng/audio/gourds.ogg,eng/audio/gourds.ogg
weigh,weigh,4,eng/image/weigh.png,eng/audio/weigh.ogg,eng/audio/weigh.ogg
goat,goat,4,eng/image/goat .png,eng/audio/goat .ogg,eng/audio/goat .ogg
combine,combine,4,eng/image/combine.png,eng/audio/combine.ogg,eng/audio/combine.ogg
warm,warm,4,eng/image/warm.png,eng/audio/warm.ogg,eng/audio/warm.ogg
light green,light green,4,eng/image/light green.png,eng/audio/light green.ogg,eng/audio/light green.ogg
today,today,4,eng/image/today.png,eng/audio/today.ogg,eng/audio/today.ogg
grasshopper,grasshopper,4,eng/image/grasshopper.png,eng/audio/grasshopper.ogg,eng/audio/grasshopper.ogg
roll,roll,4,eng/image/roll.png,eng/audio/roll.ogg,eng/audio/roll.ogg
bored,bored,4,eng/image/bored.png,eng/audio/bored.ogg,eng/audio/bored.ogg
dragonfruit,dragonfruit,4,eng/image/dragonfruit.png,eng/audio/dragonfruit.ogg,eng/audio/dragonfruit.ogg
paternal grandfather,paternal grandfather,4,eng/image/paternal grandfather.png,eng/audio/paternal grandfather.ogg,eng/audio/paternal grandfather.ogg
cornea,cornea,4,eng/image/cornea.png,eng/audio/cornea.ogg,eng/audio/cornea.ogg
carrot,carrot,4,eng/image/carrot.png,eng/audio/carrot.ogg,eng/audio/carrot.ogg
july,july,4,eng/image/july.png,eng/audio/july.ogg,eng/audio/july.ogg
spoon,spoon,4,eng/image/spoon.png,eng/audio/spoon.ogg,eng/audio/spoon.ogg
mangetout,mangetout,4,eng/image/mangetout.png,eng/audio/mangetout.ogg,eng/audio/mangetout.ogg
cabbage,cabbage,4,eng/image/cabbage.png,eng/audio/cabbage.ogg,eng/audio/cabbage.ogg
viens,viens,4,eng/image/viens.png,eng/audio/viens.ogg,eng/audio/viens.ogg
nail,nail,4,eng/image/nail.png,eng/audio/nail.ogg,eng/audio/nail.ogg
pumpkin,pumpkin,4,eng/image/pumpkin.png,eng/audio/pumpkin.ogg,eng/audio/pumpkin.ogg
hair,hair,4,eng/image/hair.png,eng/audio/hair.ogg,eng/audio/hair.ogg
wok,wok,4,eng/image/wok.png,eng/audio/wok.ogg,eng/audio/wok.ogg
iceberg,iceberg,4,eng/image/iceberg.png,eng/audio/iceberg.ogg,eng/audio/iceberg.ogg
sail,sail,4,eng/image/sail.png,eng/audio/sail.ogg,eng/audio/sail.ogg
married,married,4,eng/image/married.png,eng/audio/married.ogg,eng/audio/married.ogg
young adult,young adult,4,eng/image/young adult.png,eng/audio/young adult.ogg,eng/audio/young adult.ogg
daughter,daughter,4,eng/image/daughter.png,eng/audio/daughter.ogg,eng/audio/daughter.ogg
vacation,vacation,4,eng/image/vacation.png,eng/audio/vacation.ogg,eng/audio/vacation.ogg
swan,swan,4,eng/image/swan.png,eng/audio/swan.ogg,eng/audio/swan.ogg
steam,steam,4,eng/image/steam.png,eng/audio/steam.ogg,eng/audio/steam.ogg
edamame,edamame,4,eng/image/edamame.png,eng/audio/edamame.ogg,eng/audio/edamame.ogg
hairband,hairband,4,eng/image/hairband.png,eng/audio/hairband.ogg,eng/audio/hairband.ogg
camel,camel,4,eng/image/camel.png,eng/audio/camel.ogg,eng/audio/camel.ogg
