id,name,type,image,sound,phonemeSound
letter,letter,4,eng/image/letter.png,eng/audio/letter.ogg,eng/audio/letter.ogg
fun,fun,4,eng/image/fun.png,eng/audio/fun.ogg,eng/audio/fun.ogg
week,week,4,eng/image/week.png,eng/audio/week.ogg,eng/audio/week.ogg
cloudy,cloudy,4,eng/image/cloudy.png,eng/audio/cloudy.ogg,eng/audio/cloudy.ogg
chin,chin,4,eng/image/chin.png,eng/audio/chin.ogg,eng/audio/chin.ogg
care,care,4,eng/image/care.png,eng/audio/care.ogg,eng/audio/care.ogg
bag,bag,4,eng/image/bag.png,eng/audio/bag.ogg,eng/audio/bag.ogg
corridor,corridor,4,eng/image/corridor.png,eng/audio/corridor.ogg,eng/audio/corridor.ogg
clothesline,clothesline,4,eng/image/clothesline.png,eng/audio/clothesline.ogg,eng/audio/clothesline.ogg
pot holder,pot holder,4,eng/image/pot holder.png,eng/audio/pot holder.ogg,eng/audio/pot holder.ogg
head,head,4,eng/image/head.png,eng/audio/head.ogg,eng/audio/head.ogg
stir,stir,4,eng/image/stir.png,eng/audio/stir.ogg,eng/audio/stir.ogg
air,air,4,eng/image/air.png,eng/audio/air.ogg,eng/audio/air.ogg
pupil,pupil,4,eng/image/pupil.png,eng/audio/pupil.ogg,eng/audio/pupil.ogg
grand daughter,grand daughter,4,eng/image/grand daughter.png,eng/audio/grand daughter.ogg,eng/audio/grand daughter.ogg
butter,butter,4,eng/image/butter.png,eng/audio/butter.ogg,eng/audio/butter.ogg
stove,stove,4,eng/image/stove.png,eng/audio/stove.ogg,eng/audio/stove.ogg
night gown,night gown,4,eng/image/night gown.png,eng/audio/night gown.ogg,eng/audio/night gown.ogg
photograph,photograph,4,eng/image/photograph.png,eng/audio/photograph.ogg,eng/audio/photograph.ogg
todller,todller,4,eng/image/todller.png,eng/audio/todller.ogg,eng/audio/todller.ogg
stereo system,stereo system,4,eng/image/stereo system.png,eng/audio/stereo system.ogg,eng/audio/stereo system.ogg
angry,angry,4,eng/image/angry.png,eng/audio/angry.ogg,eng/audio/angry.ogg
axe,axe,4,eng/image/axe.png,eng/audio/axe.ogg,eng/audio/axe.ogg
wasp,wasp,4,eng/image/wasp.png,eng/audio/wasp.ogg,eng/audio/wasp.ogg
insect,insect,4,eng/image/insect.png,eng/audio/insect.ogg,eng/audio/insect.ogg
lungs,lungs,4,eng/image/lungs.png,eng/audio/lungs.ogg,eng/audio/lungs.ogg
hip,hip,4,eng/image/hip.png,eng/audio/hip.ogg,eng/audio/hip.ogg
mad,mad,4,eng/image/mad.png,eng/audio/mad.ogg,eng/audio/mad.ogg
dragon fly,dragon fly,4,eng/image/dragon fly.png,eng/audio/dragon fly.ogg,eng/audio/dragon fly.ogg
tonight,tonight,4,eng/image/tonight.png,eng/audio/tonight.ogg,eng/audio/tonight.ogg
mustard greens,mustard greens,4,eng/image/mustard greens.png,eng/audio/mustard greens.ogg,eng/audio/mustard greens.ogg
chair,chair,4,eng/image/chair.png,eng/audio/chair.ogg,eng/audio/chair.ogg
lava,lava,4,eng/image/lava.png,eng/audio/lava.ogg,eng/audio/lava.ogg
cousin,cousin,4,eng/image/cousin.png,eng/audio/cousin.ogg,eng/audio/cousin.ogg
fahrenheit,fahrenheit,4,eng/image/fahrenheit.png,eng/audio/fahrenheit.ogg,eng/audio/fahrenheit.ogg
paper towels,paper towels,4,eng/image/paper towels.png,eng/audio/paper towels.ogg,eng/audio/paper towels.ogg
custard apple,custard apple,4,eng/image/custard apple.png,eng/audio/custard apple.ogg,eng/audio/custard apple.ogg
feet,feet,4,eng/image/feet.png,eng/audio/feet.ogg,eng/audio/feet.ogg
bottle opener,bottle opener,4,eng/image/bottle opener.png,eng/audio/bottle opener.ogg,eng/audio/bottle opener.ogg
girl,girl,4,eng/image/girl.png,eng/audio/girl.ogg,eng/audio/girl.ogg
gold,gold,4,eng/image/gold.png,eng/audio/gold.ogg,eng/audio/gold.ogg
humming bird,humming bird,4,eng/image/humming bird.png,eng/audio/humming bird.ogg,eng/audio/humming bird.ogg
leap year,leap year,4,eng/image/leap year.png,eng/audio/leap year.ogg,eng/audio/leap year.ogg
dozen,dozen,4,eng/image/dozen.png,eng/audio/dozen.ogg,eng/audio/dozen.ogg
ironing board,ironing board,4,eng/image/ironing board.png,eng/audio/ironing board.ogg,eng/audio/ironing board.ogg
spring onion,spring onion,4,eng/image/spring onion.png,eng/audio/spring onion.ogg,eng/audio/spring onion.ogg
skeleton,skeleton,4,eng/image/skeleton.png,eng/audio/skeleton.ogg,eng/audio/skeleton.ogg
name,name,4,eng/image/name.png,eng/audio/name.ogg,eng/audio/name.ogg
puma,puma,4,eng/image/puma.png,eng/audio/puma.ogg,eng/audio/puma.ogg
women,women,4,eng/image/women.png,eng/audio/women.ogg,eng/audio/women.ogg
blazer,blazer,4,eng/image/blazer.png,eng/audio/blazer.ogg,eng/audio/blazer.ogg
white,white,4,eng/image/white.png,eng/audio/white.ogg,eng/audio/white.ogg
zucchini,zucchini,4,eng/image/zucchini.png,eng/audio/zucchini.ogg,eng/audio/zucchini.ogg
jealous,jealous,4,eng/image/jealous.png,eng/audio/jealous.ogg,eng/audio/jealous.ogg
brave,brave,4,eng/image/brave.png,eng/audio/brave.ogg,eng/audio/brave.ogg
lightining bug,lightining bug,4,eng/image/lightining bug.png,eng/audio/lightining bug.ogg,eng/audio/lightining bug.ogg
liver,liver,4,eng/image/liver.png,eng/audio/liver.ogg,eng/audio/liver.ogg
spatula,spatula,4,eng/image/spatula.png,eng/audio/spatula.ogg,eng/audio/spatula.ogg
leg,leg,4,eng/image/leg.png,eng/audio/leg.ogg,eng/audio/leg.ogg
son,son,4,eng/image/son.png,eng/audio/son.ogg,eng/audio/son.ogg
dove,dove,4,eng/image/dove.png,eng/audio/dove.ogg,eng/audio/dove.ogg
urn,urn,4,eng/image/urn.png,eng/audio/urn.ogg,eng/audio/urn.ogg
light blue,light blue,4,eng/image/light blue.png,eng/audio/light blue.ogg,eng/audio/light blue.ogg
senior citizen,senior citizen,4,eng/image/senior citizen.png,eng/audio/senior citizen.ogg,eng/audio/senior citizen.ogg
artichoke,artichoke,4,eng/image/artichoke.png,eng/audio/artichoke.ogg,eng/audio/artichoke.ogg
eggplant,eggplant,4,eng/image/eggplant.png,eng/audio/eggplant.ogg,eng/audio/eggplant.ogg
peel,peel,4,eng/image/peel.png,eng/audio/peel.ogg,eng/audio/peel.ogg
guava,guava,4,eng/image/guava.png,eng/audio/guava.ogg,eng/audio/guava.ogg
wrist,wrist,4,eng/image/wrist.png,eng/audio/wrist.ogg,eng/audio/wrist.ogg
tea,tea,4,eng/image/tea.png,eng/audio/tea.ogg,eng/audio/tea.ogg
idea,idea,4,eng/image/idea.png,eng/audio/idea.ogg,eng/audio/idea.ogg
snowing,snowing,4,eng/image/snowing.png,eng/audio/snowing.ogg,eng/audio/snowing.ogg
slice,slice,4,eng/image/slice.png,eng/audio/slice.ogg,eng/audio/slice.ogg
watermelon,watermelon,4,eng/image/watermelon.png,eng/audio/watermelon.ogg,eng/audio/watermelon.ogg
little finger,little finger,4,eng/image/little finger.png,eng/audio/little finger.ogg,eng/audio/little finger.ogg
needle,needle,4,eng/image/needle.png,eng/audio/needle.ogg,eng/audio/needle.ogg
august,august,4,eng/image/august.png,eng/audio/august.ogg,eng/audio/august.ogg
queen,queen,4,eng/image/queen.png,eng/audio/queen.ogg,eng/audio/queen.ogg
steamer,steamer,4,eng/image/steamer.png,eng/audio/steamer.ogg,eng/audio/steamer.ogg
beetroot,beetroot,4,eng/image/beetroot.png,eng/audio/beetroot.ogg,eng/audio/beetroot.ogg
brinjal,brinjal,4,eng/image/brinjal.png,eng/audio/brinjal.ogg,eng/audio/brinjal.ogg
adam's apple,adam's apple,4,eng/image/adam's apple.png,eng/audio/adam's apple.ogg,eng/audio/adam's apple.ogg
thermometer,thermometer,4,eng/image/thermometer.png,eng/audio/thermometer.ogg,eng/audio/thermometer.ogg
dress,dress,4,eng/image/dress.png,eng/audio/dress.ogg,eng/audio/dress.ogg
pineapple,pineapple,4,eng/image/pineapple.png,eng/audio/pineapple.ogg,eng/audio/pineapple.ogg
afternoon,afternoon,4,eng/image/afternoon.png,eng/audio/afternoon.ogg,eng/audio/afternoon.ogg
earth,earth,4,eng/image/earth.png,eng/audio/earth.ogg,eng/audio/earth.ogg
large intestine,large intestine,4,eng/image/large intestine.png,eng/audio/large intestine.ogg,eng/audio/large intestine.ogg
marble,marble,4,eng/image/marble.png,eng/audio/marble.ogg,eng/audio/marble.ogg
cold,cold,4,eng/image/cold.png,eng/audio/cold.ogg,eng/audio/cold.ogg
penguine,penguine,4,eng/image/penguine.png,eng/audio/penguine.ogg,eng/audio/penguine.ogg
once a week,once a week,4,eng/image/once a week.png,eng/audio/once a week.ogg,eng/audio/once a week.ogg
thirsty,thirsty,4,eng/image/thirsty.png,eng/audio/thirsty.ogg,eng/audio/thirsty.ogg
teapoy,teapoy,4,eng/image/teapoy.png,eng/audio/teapoy.ogg,eng/audio/teapoy.ogg
single,single,4,eng/image/single.png,eng/audio/single.ogg,eng/audio/single.ogg
temple,temple,4,eng/image/temple.png,eng/audio/temple.ogg,eng/audio/temple.ogg
hen,hen,4,eng/image/hen.png,eng/audio/hen.ogg,eng/audio/hen.ogg
rectangle,rectangle,4,eng/image/rectangle.png,eng/audio/rectangle.ogg,eng/audio/rectangle.ogg
mongoose,mongoose,4,eng/image/mongoose.png,eng/audio/mongoose.ogg,eng/audio/mongoose.ogg
squirrel,squirrel,4,eng/image/squirrel.png,eng/audio/squirrel.ogg,eng/audio/squirrel.ogg
lamp,lamp,4,eng/image/lamp.png,eng/audio/lamp.ogg,eng/audio/lamp.ogg
chives,chives,4,eng/image/chives.png,eng/audio/chives.ogg,eng/audio/chives.ogg
add,add,4,eng/image/add.png,eng/audio/add.ogg,eng/audio/add.ogg
tomorrow evening,tomorrow evening,4,eng/image/tomorrow evening.png,eng/audio/tomorrow evening.ogg,eng/audio/tomorrow evening.ogg
yellow,yellow,4,eng/image/yellow.png,eng/audio/yellow.ogg,eng/audio/yellow.ogg
nostril,nostril,4,eng/image/nostril.png,eng/audio/nostril.ogg,eng/audio/nostril.ogg
panda,panda,4,eng/image/panda.png,eng/audio/panda.ogg,eng/audio/panda.ogg
purple,purple,4,eng/image/purple.png,eng/audio/purple.ogg,eng/audio/purple.ogg
jackek,jackek,4,eng/image/jackek.png,eng/audio/jackek.ogg,eng/audio/jackek.ogg
tomorrow afternoon,tomorrow afternoon,4,eng/image/tomorrow afternoon.png,eng/audio/tomorrow afternoon.ogg,eng/audio/tomorrow afternoon.ogg
father,father,4,eng/image/father.png,eng/audio/father.ogg,eng/audio/father.ogg
snake,snake,4,eng/image/snake.png,eng/audio/snake.ogg,eng/audio/snake.ogg
container,container,4,eng/image/container.png,eng/audio/container.ogg,eng/audio/container.ogg
measuring cup,measuring cup,4,eng/image/measuring cup.png,eng/audio/measuring cup.ogg,eng/audio/measuring cup.ogg
bioiler,bioiler,4,eng/image/bioiler.png,eng/audio/bioiler.ogg,eng/audio/bioiler.ogg
tomato,tomato,4,eng/image/tomato.png,eng/audio/tomato.ogg,eng/audio/tomato.ogg
